total_features_by_counts,total_counts,pct_counts_in_top_50_features,pct_counts_in_top_100_features,pct_counts_in_top_200_features,pct_counts_in_top_500_features,mt_genes,sd_genes
28.12337484,37.10602282,86.35038249,86.35038249,86.35038249,86.35038249,0,798.6733936
13.80065864,23.50724205,82.93197489,82.93197489,82.93197489,82.93197489,0,1131.840268
4.13471236,6.256314569,81.15502041,81.15502041,81.15502041,81.15502041,0,3671.688116
8.175448527,11.32805067,93.88357175,93.88357175,93.88357175,93.88357175,0,4006.733638
3.000079745,6.796474311,36.96172249,36.96172249,36.96172249,36.96172249,0,0
4.555058146,7.952711186,67.35103427,67.35103427,67.35103427,67.35103427,0,742.9118386
2.4,5.509137497,53.38383838,53.38383838,53.38383838,53.38383838,0,0
2.566826156,7.007961176,37.56246677,37.56246677,37.56246677,37.56246677,0,0
7.870484718,12.71293735,93.04998113,93.04998113,93.04998113,93.04998113,0,4364.754291
6.505901116,16.69864912,42.69005848,42.69005848,42.69005848,42.69005848,0,0
3.907363105,11.36561644,26.22009569,26.22009569,26.22009569,26.22009569,0,0
6.675637199,23.09349802,62.7439882,62.7439882,62.7439882,62.7439882,0,2402.765055
28.8993345,48.17910726,92.54056465,92.54056465,92.54056465,92.54056465,0,1209.346358
8.828118303,22.39130205,100,100,100,100,0,390.9299713
25.39924874,43.80354792,85.0348187,85.0348187,85.0348187,85.0348187,0,1925.244858
4.527048815,7.172918449,80.21851738,80.21851738,80.21851738,80.21851738,0,2138.693638
9.44142568,11.60023648,73.32338513,73.32338513,73.32338513,73.32338513,0,639.0746063
3.140297714,6.420175635,47.45082403,47.45082403,47.45082403,47.45082403,0,0
35.38050153,114.9661931,69.99071867,76.92537258,77.91842475,77.91842475,0,2770.457601
9.280076155,14.29343642,70.41610922,70.41610922,70.41610922,70.41610922,0,576.8067515
18.11424994,29.05242257,72.78652533,72.78652533,72.78652533,72.78652533,0,1706.947389
2.972316559,5.984846991,61.79376351,61.79376351,61.79376351,61.79376351,0,182.5782024
4.012572467,7.155088571,65.74388529,65.74388529,65.74388529,65.74388529,0,1270.028902
3.492315873,5.844030633,54.97924599,54.97924599,54.97924599,54.97924599,0,2348.031504
5.426666998,10.06681377,64.63432799,64.63432799,64.63432799,64.63432799,0,0
19.52221193,32.19106572,91.4050976,91.4050976,91.4050976,91.4050976,0,4510.246723
3.089154705,7.663446614,49.34077618,49.34077618,49.34077618,49.34077618,0,0
3.230540976,6.078871721,67.80899455,67.80899455,67.80899455,67.80899455,0,1009.513233
3.718766614,10.33199042,40.42796385,40.42796385,40.42796385,40.42796385,0,0
9.928458715,21.49993298,71.28228877,71.28228877,71.28228877,71.28228877,0,2805.384554
15.09658331,20.78817186,95.55418339,95.55418339,95.55418339,95.55418339,0,4312.738228
12.10248362,18.79152723,88.42235258,88.42235258,88.42235258,88.42235258,0,2722.68735
20.51861,26.75094291,87.02445885,87.02445885,87.02445885,87.02445885,0,2933.856324
9.24515454,15.96694094,80.68333848,80.68333848,80.68333848,80.68333848,0,2110.925659
14.54480121,23.83439054,92.15635827,92.15635827,92.15635827,92.15635827,0,2900.139569
4.398032961,11.79155269,46.91653376,46.91653376,46.91653376,46.91653376,0,0
11.28498165,17.95580954,79.63706219,79.63706219,79.63706219,79.63706219,0,2399.207265
2.253535354,5.350688439,44.48165869,44.48165869,44.48165869,44.48165869,0,0
8.124558334,13.48478815,76.64402593,76.64402593,76.64402593,76.64402593,0,2725.926726
6.144677713,11.72883131,68.70947823,68.70947823,68.70947823,68.70947823,0,963.9040369
3.71913485,6.205867202,74.3645158,74.3645158,74.3645158,74.3645158,0,403.3972814
15.77182601,31.97300549,81.01437343,81.01437343,81.01437343,81.01437343,0,5677.354647
2.198192451,4.863427884,50.43062201,50.43062201,50.43062201,50.43062201,0,0
7.504253713,10.19142129,67.17093753,67.17093753,67.17093753,67.17093753,0,397.7885364
39.40901116,100.7037308,10.59761407,18.85025044,20.30037214,20.30037214,0,0
